text,translation,audioUrl,distractorWords,explanation,explanationTranslated,addedBy
Unfading,Inmarcesible,,,,,Guille
Wow!,Caramba,,,,,Clara
You're such a know‑it‑all,Eres un cuñao,,,,,Clara
You lack street smarts,Te falta calle,,,,,Almu
Souk (bazaar),Zoco,,,,,Maroñas
"We'll even accept an octopus as a pet (fine, whatever you say)",Aceptamos pulpo como animal de compañía,,,,,Almu
You're a suck‑up,Eres un pelota,,,,,Almu
Unbearable,Infumable,,,,,Toño y Pablo
Gosh!,Cáspita,,,,,Juan
Being of light,Ser de luz,,,,Solo existe en español y me parece una expresión muy bonita,Manuela
Game,Juego,,,,poco creativo pero este grupo siempre se inventa juegos,Manuela
Teachers,Profes,,,,"siempre estáis hablando del base y vuestros antiguos profesores, sois tan pelotas, os quiero",Manuela
Leaf litter,Hojarasca,,,,por su sonoridad y la imagen que me aporta a la cabeza,Irene
To fornicate,Fornicar,,,,,Irene
Petrichor,Petricor,,,,,Nerea
Cauliflower,Coliflor,,,,la coliflor que quiso ser crudité y acabó en el fondo del lago al grito de siuu,Javi
Rum and Coke,Roncola,,,,,Javi